ID,YEAR,A,H,H_std,H_med,S,S_med,ET,ST,T,P,FL,SL,CL,UL,WL,lon,lat
1,2001,39613.01,409.94,249.63,358.15,3.38,1.96,6.9548e-06,273.9,271.43,575.46,3.53,42.9,0.0,0.01,1.9,22.09614636767742,67.89912344563412
1,2002,39613.01,409.94,249.63,358.15,3.38,1.96,8.7106e-06,274.08,272.41,444.75,4.36,42.83,0.0,0.01,1.86,22.09614636767742,67.89912344563412
1,2003,39613.01,409.94,249.63,358.15,3.38,1.96,8.0406e-06,274.12,272.9,469.57,4.12,41.88,0.0,0.01,1.84,22.09614636767742,67.89912344563412
1,2004,39613.01,409.94,249.63,358.15,3.38,1.96,7.3551e-06,273.88,272.68,624.62,3.85,41.9,0.0,0.01,1.87,22.09614636767742,67.89912344563412
1,2005,39613.01,409.94,249.63,358.15,3.38,1.96,9.0534e-06,274.54,273.3,621.38,4.04,42.96,0.0,0.01,1.89,22.09614636767742,67.89912344563412
1,2006,39613.01,409.94,249.63,358.15,3.38,1.96,9.2593e-06,274.74,273.39,498.89,4.04,42.71,0.0,0.01,1.86,22.09614636767742,67.89912344563412
1,2007,39613.01,409.94,249.63,358.15,3.38,1.96,8.3122e-06,274.73,273.0,584.63,4.29,43.22,0.0,0.01,1.87,22.09614636767742,67.89912344563412
1,2008,39613.01,409.94,249.63,358.15,3.38,1.96,7.8924e-06,274.44,272.95,570.44,3.32,43.56,0.0,0.01,1.86,22.09614636767742,67.89912344563412
1,2009,39613.01,409.94,249.63,358.15,3.38,1.96,8.6883e-06,274.5,272.89,425.37,2.62,42.56,0.0,0.01,1.86,22.09614636767742,67.89912344563412
1,2010,39613.01,409.94,249.63,358.15,3.38,1.96,7.9458e-06,273.38,270.93,490.49,2.14,42.69,0.0,0.01,1.84,22.09614636767742,67.89912344563412
1,2011,39613.01,409.94,249.63,358.15,3.38,1.96,9.0624e-06,274.66,273.14,626.36,2.83,43.98,0.0,0.01,1.82,22.09614636767742,67.89912344563412
1,2012,39613.01,409.94,249.63,358.15,3.38,1.96,8.5613e-06,273.53,271.33,615.15,2.48,44.83,0.0,0.01,1.82,22.09614636767742,67.89912344563412
1,2013,39613.01,409.94,249.63,358.15,3.38,1.96,9.6184e-06,274.89,272.97,525.6,2.88,45.52,0.0,0.01,1.83,22.09614636767742,67.89912344563412
1,2014,39613.01,409.94,249.63,358.15,3.38,1.96,9.4815e-06,274.22,272.8,487.08,3.26,45.23,0.0,0.01,1.83,22.09614636767742,67.89912344563412
1,2015,39613.01,409.94,249.63,358.15,3.38,1.96,8.0772e-06,274.31,273.22,619.61,2.75,44.48,0.0,0.01,1.86,22.09614636767742,67.89912344563412
1,2016,39613.01,409.94,249.63,358.15,3.38,1.96,9.2441e-06,274.16,273.05,659.76,2.32,42.83,0.0,0.01,1.86,22.09614636767742,67.89912344563412
1,2017,39613.01,409.94,249.63,358.15,3.38,1.96,8.0657e-06,273.4,271.94,569.28,1.94,42.0,0.0,0.01,1.86,22.09614636767742,67.89912344563412
1,2018,39613.01,409.94,249.63,358.15,3.38,1.96,1.01498e-05,274.77,273.45,425.43,2.1,41.84,0.0,0.01,1.84,22.09614636767742,67.89912344563412
1,2019,39613.01,409.94,249.63,358.15,3.38,1.96,9.3809e-06,273.79,272.37,564.42,2.42,42.11,0.0,0.01,1.83,22.09614636767742,67.89912344563412
1,2020,39613.01,409.94,249.63,358.15,3.38,1.96,9.5869e-06,274.53,273.63,605.15,1.53,41.82,0.0,0.01,1.85,22.09614636767742,67.89912344563412
2,2001,50917.75,234.44,78.82,230.79,2.0,1.36,8.3938e-06,274.5,272.5,539.87,4.21,58.22,0.0,0.01,2.05,26.609892691097695,67.3394478323987
2,2002,50917.75,234.44,78.82,230.79,2.0,1.36,9.9309e-06,274.6,273.19,505.65,4.63,58.62,0.0,0.01,2.0,26.609892691097695,67.3394478323987
2,2003,50917.75,234.44,78.82,230.79,2.0,1.36,9.1622e-06,274.77,273.69,493.93,3.81,56.08,0.0,0.01,1.97,26.609892691097695,67.3394478323987
2,2004,50917.75,234.44,78.82,230.79,2.0,1.36,8.4014e-06,274.49,273.51,612.2,3.63,58.48,0.0,0.01,1.96,26.609892691097695,67.3394478323987
2,2005,50917.75,234.44,78.82,230.79,2.0,1.36,1.02821e-05,275.22,274.26,639.82,3.82,58.8,0.0,0.01,1.97,26.609892691097695,67.3394478323987
2,2006,50917.75,234.44,78.82,230.79,2.0,1.36,1.09816e-05,275.39,274.25,457.6,3.66,57.67,0.0,0.01,1.96,26.609892691097695,67.3394478323987
2,2007,50917.75,234.44,78.82,230.79,2.0,1.36,9.2398e-06,275.33,274.04,591.12,3.86,59.7,0.0,0.01,1.96,26.609892691097695,67.3394478323987
2,2008,50917.75,234.44,78.82,230.79,2.0,1.36,8.6104e-06,274.84,273.8,604.3,2.93,60.06,0.0,0.01,1.96,26.609892691097695,67.3394478323987
2,2009,50917.75,234.44,78.82,230.79,2.0,1.36,1.00934e-05,275.02,273.74,468.64,2.41,58.59,0.0,0.01,1.96,26.609892691097695,67.3394478323987
2,2010,50917.75,234.44,78.82,230.79,2.0,1.36,9.319e-06,274.02,272.06,490.21,1.88,60.18,0.0,0.01,1.93,26.609892691097695,67.3394478323987
2,2011,50917.75,234.44,78.82,230.79,2.0,1.36,1.10182e-05,275.01,274.13,593.56,2.82,61.78,0.0,0.01,1.89,26.609892691097695,67.3394478323987
2,2012,50917.75,234.44,78.82,230.79,2.0,1.36,1.0203e-05,274.36,272.33,593.85,2.67,62.79,0.0,0.01,1.89,26.609892691097695,67.3394478323987
2,2013,50917.75,234.44,78.82,230.79,2.0,1.36,1.13921e-05,275.66,274.01,461.46,3.32,64.3,0.0,0.01,1.89,26.609892691097695,67.3394478323987
2,2014,50917.75,234.44,78.82,230.79,2.0,1.36,1.11329e-05,274.72,273.83,523.18,4.02,64.12,0.0,0.01,1.89,26.609892691097695,67.3394478323987
2,2015,50917.75,234.44,78.82,230.79,2.0,1.36,8.991e-06,275.1,274.34,667.2,2.9,63.74,0.0,0.01,1.92,26.609892691097695,67.3394478323987
2,2016,50917.75,234.44,78.82,230.79,2.0,1.36,1.08056e-05,275.31,274.34,660.0,1.92,62.72,0.0,0.01,1.94,26.609892691097695,67.3394478323987
2,2017,50917.75,234.44,78.82,230.79,2.0,1.36,9.1731e-06,274.01,272.98,522.21,1.38,58.9,0.0,0.01,1.93,26.609892691097695,67.3394478323987
2,2018,50917.75,234.44,78.82,230.79,2.0,1.36,1.21327e-05,275.6,274.78,472.45,1.8,59.5,0.0,0.01,1.92,26.609892691097695,67.3394478323987
2,2019,50917.75,234.44,78.82,230.79,2.0,1.36,1.07351e-05,274.49,273.61,571.0,1.91,58.47,0.0,0.01,1.91,26.609892691097695,67.3394478323987
2,2020,50917.75,234.44,78.82,230.79,2.0,1.36,1.17146e-05,275.66,275.15,609.08,0.98,59.65,0.0,0.01,1.93,26.609892691097695,67.3394478323987
3,2001,17673.97,405.48,292.11,345.78,4.04,2.2,7.632e-06,274.12,271.68,589.09,3.79,56.49,0.0,0.01,2.11,21.157520556115074,67.17587729990016
3,2002,17673.97,405.48,292.11,345.78,4.04,2.2,9.7871e-06,274.19,272.67,443.43,4.15,56.83,0.0,0.01,2.08,21.157520556115074,67.17587729990016
3,2003,17673.97,405.48,292.11,345.78,4.04,2.2,8.8872e-06,274.2,273.14,439.07,4.29,55.47,0.0,0.01,2.05,21.157520556115074,67.17587729990016
3,2004,17673.97,405.48,292.11,345.78,4.04,2.2,7.9193e-06,273.9,272.82,624.66,4.02,55.0,0.0,0.01,2.1,21.157520556115074,67.17587729990016
3,2005,17673.97,405.48,292.11,345.78,4.04,2.2,9.8115e-06,274.63,273.51,642.27,4.45,56.79,0.0,0.01,2.11,21.157520556115074,67.17587729990016
3,2006,17673.97,405.48,292.11,345.78,4.04,2.2,9.7876e-06,274.98,273.77,513.49,4.49,56.51,0.0,0.01,2.09,21.157520556115074,67.17587729990016
3,2007,17673.97,405.48,292.11,345.78,4.04,2.2,9.3345e-06,275.01,273.29,609.21,4.94,56.85,0.0,0.01,2.1,21.157520556115074,67.17587729990016
3,2008,17673.97,405.48,292.11,345.78,4.04,2.2,9.1963e-06,274.75,273.42,616.86,3.98,57.24,0.0,0.01,2.09,21.157520556115074,67.17587729990016
3,2009,17673.97,405.48,292.11,345.78,4.04,2.2,9.7901e-06,274.85,273.29,444.54,3.07,55.52,0.0,0.01,2.09,21.157520556115074,67.17587729990016
3,2010,17673.97,405.48,292.11,345.78,4.04,2.2,8.9408e-06,273.58,271.21,512.02,2.57,55.06,0.0,0.01,2.05,21.157520556115074,67.17587729990016
3,2011,17673.97,405.48,292.11,345.78,4.04,2.2,1.02204e-05,274.92,273.53,682.93,3.54,57.24,0.0,0.01,2.03,21.157520556115074,67.17587729990016
3,2012,17673.97,405.48,292.11,345.78,4.04,2.2,9.7849e-06,273.92,271.84,678.24,3.26,58.66,0.0,0.01,2.04,21.157520556115074,67.17587729990016
3,2013,17673.97,405.48,292.11,345.78,4.04,2.2,1.07884e-05,275.2,273.4,562.88,3.74,59.89,0.0,0.01,2.04,21.157520556115074,67.17587729990016
3,2014,17673.97,405.48,292.11,345.78,4.04,2.2,1.08302e-05,274.67,273.41,470.34,3.95,59.92,0.0,0.01,2.03,21.157520556115074,67.17587729990016
3,2015,17673.97,405.48,292.11,345.78,4.04,2.2,9.5811e-06,274.74,273.9,682.44,3.34,58.73,0.0,0.01,2.07,21.157520556115074,67.17587729990016
3,2016,17673.97,405.48,292.11,345.78,4.04,2.2,1.04145e-05,274.52,273.48,675.41,2.67,55.8,0.0,0.01,2.06,21.157520556115074,67.17587729990016
3,2017,17673.97,405.48,292.11,345.78,4.04,2.2,9.1668e-06,273.85,272.51,638.06,2.26,55.49,0.0,0.01,2.06,21.157520556115074,67.17587729990016
3,2018,17673.97,405.48,292.11,345.78,4.04,2.2,1.15023e-05,275.27,273.98,412.18,2.2,54.95,0.0,0.01,2.05,21.157520556115074,67.17587729990016
3,2019,17673.97,405.48,292.11,345.78,4.04,2.2,1.07336e-05,274.24,272.94,581.27,2.43,55.65,0.0,0.01,2.04,21.157520556115074,67.17587729990016
3,2020,17673.97,405.48,292.11,345.78,4.04,2.2,1.07245e-05,274.94,274.21,617.46,1.69,53.99,0.0,0.01,2.07,21.157520556115074,67.17587729990016
4,2001,24934.11,601.29,325.37,536.25,6.0,3.5,6.8095e-06,273.8,271.02,700.42,3.81,36.06,0.0,0.01,4.09,18.713558955519193,67.04482151158868
4,2002,24934.11,601.29,325.37,536.25,6.0,3.5,8.8228e-06,274.09,272.24,518.41,3.29,37.84,0.0,0.01,4.05,18.713558955519193,67.04482151158868
4,2003,24934.11,601.29,325.37,536.25,6.0,3.5,8.2068e-06,274.28,272.78,569.75,3.13,36.12,0.0,0.01,3.99,18.713558955519193,67.04482151158868
4,2004,24934.11,601.29,325.37,536.25,6.0,3.5,7.3488e-06,273.75,272.36,665.2,2.84,35.5,0.0,0.01,4.06,18.713558955519193,67.04482151158868
4,2005,24934.11,601.29,325.37,536.25,6.0,3.5,8.555e-06,274.34,272.99,719.88,3.36,37.09,0.0,0.01,4.11,18.713558955519193,67.04482151158868
