ID,YEAR,SEASON,H,H_std,H_med,S,S_med,ET,ST,T,P,FL,SL,CL,UL,WL,A,lon,lat
1,2001,SPRING,409.94,249.63,358.15,3.38,1.96,4.207e-06,270.21,266.64,34.38,3.53,42.9,0.0,0.01,1.9,39613.01,22.09614636767742,67.89912344563412
1,2001,SUMMER,409.94,249.63,358.15,3.38,1.96,2.00835e-05,282.93,283.22,80.77,3.53,42.9,0.0,0.01,1.9,39613.01,22.09614636767742,67.89912344563412
1,2001,AUTUMN,409.94,249.63,358.15,3.38,1.96,3.0497e-06,273.54,273.37,49.21,3.53,42.9,0.0,0.01,1.9,39613.01,22.09614636767742,67.89912344563412
1,2002,WINTER,409.94,249.63,358.15,3.38,1.96,6.358e-07,268.58,263.65,37.84,4.08,42.85,0.0,0.01,1.87,39613.01,22.09614636767742,67.89912344563412
1,2002,SPRING,409.94,249.63,358.15,3.38,1.96,6.4093e-06,272.34,271.5,20.82,4.36,42.83,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2002,SUMMER,409.94,249.63,358.15,3.38,1.96,2.45475e-05,285.52,285.68,62.3,4.36,42.83,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2002,AUTUMN,409.94,249.63,358.15,3.38,1.96,3.3592e-06,271.0,269.66,28.65,4.36,42.83,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2003,WINTER,409.94,249.63,358.15,3.38,1.96,7.149e-07,266.82,261.83,26.54,4.2,42.2,0.0,0.01,1.85,39613.01,22.09614636767742,67.89912344563412
1,2003,SPRING,409.94,249.63,358.15,3.38,1.96,5.6432e-06,271.29,270.96,35.45,4.12,41.88,0.0,0.01,1.84,39613.01,22.09614636767742,67.89912344563412
1,2003,SUMMER,409.94,249.63,358.15,3.38,1.96,2.25578e-05,284.82,284.73,41.88,4.12,41.88,0.0,0.01,1.84,39613.01,22.09614636767742,67.89912344563412
1,2003,AUTUMN,409.94,249.63,358.15,3.38,1.96,3.342e-06,272.68,272.81,42.86,4.12,41.88,0.0,0.01,1.84,39613.01,22.09614636767742,67.89912344563412
1,2004,WINTER,409.94,249.63,358.15,3.38,1.96,7.361e-07,268.27,263.27,37.46,3.94,41.89,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2004,SPRING,409.94,249.63,358.15,3.38,1.96,5.1586e-06,271.29,270.91,18.63,3.85,41.9,0.0,0.01,1.87,39613.01,22.09614636767742,67.89912344563412
1,2004,SUMMER,409.94,249.63,358.15,3.38,1.96,2.08022e-05,283.24,283.26,99.6,3.85,41.9,0.0,0.01,1.87,39613.01,22.09614636767742,67.89912344563412
1,2004,AUTUMN,409.94,249.63,358.15,3.38,1.96,3.1025e-06,272.84,272.42,51.03,3.85,41.9,0.0,0.01,1.87,39613.01,22.09614636767742,67.89912344563412
1,2005,WINTER,409.94,249.63,358.15,3.38,1.96,-1.006e-07,269.01,265.63,43.76,3.98,42.61,0.0,0.01,1.88,39613.01,22.09614636767742,67.89912344563412
1,2005,SPRING,409.94,249.63,358.15,3.38,1.96,4.7577e-06,270.67,269.27,35.64,4.04,42.96,0.0,0.01,1.89,39613.01,22.09614636767742,67.89912344563412
1,2005,SUMMER,409.94,249.63,358.15,3.38,1.96,2.64674e-05,284.37,285.15,77.61,4.04,42.96,0.0,0.01,1.89,39613.01,22.09614636767742,67.89912344563412
1,2005,AUTUMN,409.94,249.63,358.15,3.38,1.96,4.9152e-06,274.42,274.7,51.83,4.04,42.96,0.0,0.01,1.89,39613.01,22.09614636767742,67.89912344563412
1,2006,WINTER,409.94,249.63,358.15,3.38,1.96,5.249e-07,268.36,263.29,32.69,4.04,42.79,0.0,0.01,1.87,39613.01,22.09614636767742,67.89912344563412
1,2006,SPRING,409.94,249.63,358.15,3.38,1.96,5.4643e-06,271.35,270.11,29.56,4.04,42.71,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2006,SUMMER,409.94,249.63,358.15,3.38,1.96,2.73094e-05,285.39,285.62,42.58,4.04,42.71,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2006,AUTUMN,409.94,249.63,358.15,3.38,1.96,3.8633e-06,272.85,272.66,55.39,4.04,42.71,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2007,WINTER,409.94,249.63,358.15,3.38,1.96,3.678e-07,269.27,262.18,46.09,4.21,43.05,0.0,0.01,1.87,39613.01,22.09614636767742,67.89912344563412
1,2007,SPRING,409.94,249.63,358.15,3.38,1.96,4.6384e-06,271.41,271.11,40.79,4.29,43.22,0.0,0.01,1.87,39613.01,22.09614636767742,67.89912344563412
1,2007,SUMMER,409.94,249.63,358.15,3.38,1.96,2.53594e-05,284.16,284.65,63.51,4.29,43.22,0.0,0.01,1.87,39613.01,22.09614636767742,67.89912344563412
1,2007,AUTUMN,409.94,249.63,358.15,3.38,1.96,3.0894e-06,273.97,273.79,54.1,4.29,43.22,0.0,0.01,1.87,39613.01,22.09614636767742,67.89912344563412
1,2008,WINTER,409.94,249.63,358.15,3.38,1.96,-3.353e-07,270.22,266.82,41.72,3.64,43.45,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2008,SPRING,409.94,249.63,358.15,3.38,1.96,5.5664e-06,271.56,269.58,31.05,3.32,43.56,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2008,SUMMER,409.94,249.63,358.15,3.38,1.96,2.30063e-05,283.07,283.24,72.41,3.32,43.56,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2008,AUTUMN,409.94,249.63,358.15,3.38,1.96,3.0864e-06,273.27,273.04,42.64,3.32,43.56,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2009,WINTER,409.94,249.63,358.15,3.38,1.96,2.109e-07,268.63,263.6,28.63,2.85,42.89,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2009,SPRING,409.94,249.63,358.15,3.38,1.96,5.8023e-06,272.18,271.02,25.94,2.62,42.56,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2009,SUMMER,409.94,249.63,358.15,3.38,1.96,2.49545e-05,284.39,284.53,49.06,2.62,42.56,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2009,AUTUMN,409.94,249.63,358.15,3.38,1.96,3.7343e-06,273.37,273.66,44.02,2.62,42.56,0.0,0.01,1.86,39613.01,22.09614636767742,67.89912344563412
1,2010,WINTER,409.94,249.63,358.15,3.38,1.96,-1.449e-07,267.49,260.49,26.15,2.3,42.65,0.0,0.01,1.85,39613.01,22.09614636767742,67.89912344563412
1,2010,SPRING,409.94,249.63,358.15,3.38,1.96,5.0818e-06,271.36,269.94,32.8,2.14,42.69,0.0,0.01,1.84,39613.01,22.09614636767742,67.89912344563412
1,2010,SUMMER,409.94,249.63,358.15,3.38,1.96,2.42992e-05,283.06,283.2,68.15,2.14,42.69,0.0,0.01,1.84,39613.01,22.09614636767742,67.89912344563412
1,2010,AUTUMN,409.94,249.63,358.15,3.38,1.96,2.5904e-06,272.46,271.16,37.34,2.14,42.69,0.0,0.01,1.84,39613.01,22.09614636767742,67.89912344563412
1,2011,WINTER,409.94,249.63,358.15,3.38,1.96,-2.077e-07,265.86,258.42,27.84,2.6,43.55,0.0,0.01,1.83,39613.01,22.09614636767742,67.89912344563412
1,2011,SPRING,409.94,249.63,358.15,3.38,1.96,5.9343e-06,271.61,270.93,29.34,2.83,43.98,0.0,0.01,1.82,39613.01,22.09614636767742,67.89912344563412
1,2011,SUMMER,409.94,249.63,358.15,3.38,1.96,2.75329e-05,285.25,285.33,68.1,2.83,43.98,0.0,0.01,1.82,39613.01,22.09614636767742,67.89912344563412
1,2011,AUTUMN,409.94,249.63,358.15,3.38,1.96,2.8811e-06,274.5,275.36,71.23,2.83,43.98,0.0,0.01,1.82,39613.01,22.09614636767742,67.89912344563412
1,2012,WINTER,409.94,249.63,358.15,3.38,1.96,1.062e-07,268.7,262.61,41.24,2.6,44.55,0.0,0.01,1.82,39613.01,22.09614636767742,67.89912344563412
