ID,YEAR,A,Q,H,H_std,H_med,S,S_med,ET,ST,T,P,FL,SL,CL,UL,WL
6140100,2001,94.6,1.102,582.94,63.35,579.4,7.79,6.41,0.0000148247,278.74,279.15,922.71,45.22,6.82,19.82,0.56,0
6140100,2002,94.6,1.31692,582.94,63.35,579.4,7.79,6.41,0.0000178957,280.2,280.25,851.14,44.15,7.32,24.14,0.56,0
6140100,2003,94.6,0.71242,582.94,63.35,579.4,7.79,6.41,0.0000181476,279.52,279.87,623.47,36.96,11.44,27.14,0.56,0
6140100,2004,94.6,0.77342,582.94,63.35,579.4,7.79,6.41,0.0000172445,279.52,279.61,665.93,35.83,10.07,24.52,0.56,0
6140100,2005,94.6,0.95283,582.94,63.35,579.4,7.79,6.41,0.0000180504,279.39,279.33,805.94,34.33,12.13,24.2,0.56,0
6140100,2006,94.6,1.01475,582.94,63.35,579.4,7.79,6.41,0.0000182777,280.09,279.77,752.11,33.9,12.32,22.26,0.56,0
6140100,2007,94.6,1.07817,582.94,63.35,579.4,7.79,6.41,0.0000199337,280.57,280.67,845.94,34.65,12.2,21.39,0.56,0
6140100,2008,94.6,0.89108,582.94,63.35,579.4,7.79,6.41,0.0000180819,280.27,280.63,701.93,35.02,11.51,22.33,0.56,0
6140100,2009,94.6,0.922,582.94,63.35,579.4,7.79,6.41,0.0000186107,279.62,280,789.19,36.21,10.57,19.82,0.56,0
6140100,2010,94.6,1.28042,582.94,63.35,579.4,7.79,6.41,0.0000163285,278.88,278.38,926.18,35.21,10.57,19.95,0.56,0
6140100,2011,94.6,0.85358,582.94,63.35,579.4,7.79,6.41,0.0000176234,279.28,279.78,692.6,35.33,10.88,20.89,0.56,0
6140100,2012,94.6,0.99842,582.94,63.35,579.4,7.79,6.41,0.0000176923,278.98,279.47,831.94,35.33,9.19,16.32,0.56,0
6140100,2013,94.6,1.08083,582.94,63.35,579.4,7.79,6.41,0.0000161413,278.62,279.24,826.59,33.4,11.13,15.95,0.56,0
6140100,2014,94.6,0.63108,582.94,63.35,579.4,7.79,6.41,0.0000187201,280.85,281.11,699.24,37.27,7.69,15.26,0.56,0
6140100,2015,94.6,0.6195,582.94,63.35,579.4,7.79,6.41,0.0000184637,280.27,280.81,561.28,36.4,9.38,16.45,0.56,0
6140100,2016,94.6,0.52267,582.94,63.35,579.4,7.79,6.41,0.000018445,279.87,280.1,706.8,36.4,9.76,17.95,0.56,0
6140100,2017,94.6,0.67558,582.94,63.35,579.4,7.79,6.41,0.0000174467,279.21,279.79,809.04,36.21,9.38,17.45,0.56,0
6140100,2018,94.6,0.58142,582.94,63.35,579.4,7.79,6.41,0.0000180131,280.6,281.33,587.2,35.52,10.26,16.76,0.56,0
6140100,2019,94.6,0.57275,582.94,63.35,579.4,7.79,6.41,0.0000175413,280.58,281.31,677.41,34.46,11.76,17.45,0.56,0
6140100,2020,94.6,0.73892,582.94,63.35,579.4,7.79,6.41,0.0000170393,280.19,280.86,755.27,36.84,10.82,17.01,0.56,0
6140101,2001,248.5,2.817,563.26,81.76,557.31,7.99,6.6,0.0000149545,278.98,279.31,952.86,42.52,5.42,24.31,1.74,0
6140101,2002,248.5,3.86358,563.26,81.76,557.31,7.99,6.6,0.0000180141,280.36,280.42,884.96,41.25,6.27,29.17,1.74,0
6140101,2003,248.5,2.06083,563.26,81.76,557.31,7.99,6.6,0.0000181583,279.69,279.99,648.99,36,9.41,32.23,1.74,0
6140101,2004,248.5,2.24825,563.26,81.76,557.31,7.99,6.6,0.0000175044,279.67,279.75,701.74,35.42,8.92,29.83,1.74,0
6140101,2005,248.5,2.76167,563.26,81.76,557.31,7.99,6.6,0.0000185121,279.53,279.48,826.03,34.34,9.95,30.51,1.74,0
6140101,2006,248.5,2.55208,563.26,81.76,557.31,7.99,6.6,0.0000188427,280.1,279.9,797,33.46,9.93,29.49,1.74,0
6140101,2007,248.5,2.90325,563.26,81.76,557.31,7.99,6.6,0.0000202758,280.73,280.83,854.09,34.29,9.93,28.14,1.74,0
6140101,2008,248.5,2.33358,563.26,81.76,557.31,7.99,6.6,0.0000185314,280.43,280.8,697.77,34.53,9.95,28.6,1.74,0
